"store","week","cola_profit","cola_move","pepsi_profit","pepsi_move","sprite_profit","sprite_move","store","week","grocery","dairy","frozen","bottle","mvpclub","groccoup","meat","meatfroz","meatcoup","fish","fishcoup","promo","promcoup","produce","bulk","saladbar","prodcoup","bulkcoup","salcoup","floral","florcoup","deli","deliself","deliexpr","convfood","cheese","delicoup","bakery","pharmacy","pharcoup","gm","jewelry","cosmetic","haba","gmcoup","camera","photofin","video","videoren","vidcoup","beer","wine","spirits","miscscp","mancoup","custcoun","ftgchin","ftgccoup","ftgital","ftgicoup","daircoup","frozcoup","habacoup","photcoup","cosmcoup","ssdelicp","bakcoup","liqcoup","days"
2,39,93.41,94,217.32,3178,118.52,62,2,39,117841.94,28377.5395507812,20894.8901367188,3.14,0,-914.06,29864.46,2084.47001647949,-5.80000019073486,2320.87,0,526.3,-434,37474.38,737.45,18.2200001478195,-0.5,0,0,2315.37,0,13418.84,8885.39001464844,0,874.869987487793,913.639991760254,-197.090000152588,11743.4000244141,0,0,19255.5,0,0,5641.49,-32.8800005912781,0,686.720001220703,156.949999809265,0,-27.5900001525879,0,0,0,-34.7100002765656,0,14249,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,40,51.61,284,170.73,1944,72.68,90,2,40,129782.34,29104.3203125,24722.3500976562,7.85,0,-10139.02,32749.16,3400.36996459961,-665.290016174316,3235.48,0,993.25,-433,35561.69,859.51,159.030003070831,-77,0,0,2517.87,0,13447.19,9948.43005371094,0,791.029991149902,1044.93998718262,-428.680000305176,12845.9200439453,0,0,17453.61,0,0,5509.92,-176.900001525879,0,701.209999084473,187.00999879837,0,-14.3699998632073,0.75,0,0,-536.139999389648,0,14713,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,41,78.51,502,130.87,456,97.64,82,2,41,124667.75,28585.6298828125,22369.1105957031,0.6,0,-1799.16,31378.92,2414.74993896484,-6.57999992370605,2654.06,0,574.81,-411,35495.02,1068.21,51.7499998807907,-6.79999971389771,0,0,2041.37,0,12156.19,9538.55981445312,0,922.059997558594,1267.37999725342,-14.099999666214,11846.3299560547,0,0,16361.63,0,0,5496.41,-13.42999958992,0,721.509998321533,67.9399998188019,0,0,0,0,0,-49.5999999046326,0,14637,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,42,93.41,96,227.52,1395,184.88,89,2,42,155078.55,32056.1804199219,23584.5500488281,6,0,-3438.3,41567.31,2758.37994384766,-20,3555.65,0,1682.94,-579,45669.35,859.01,151.490001678467,-59.0099992752075,-0.5,-6.5,2074.88,-5,14705.65,12848.4300537109,0,947.349994659424,1091.49001312256,-311.190004348755,14202.0201416016,0,0,19374.96,0,0,5669.4,-177.499999046326,0,589.589996337891,117.889996528625,0,-19.3700000345707,0,0,0,-96.789999961853,0,16514,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,43,73.91,340,97.08,278,72.68,72,2,43,114633.18,27332.2900390625,21480.8701171875,3.17,0,-1242.29,28570.37,2035.13998413086,-46.8800001144409,3314.67,0,840.04,-198,37137.89,681.17,265.470003128052,-126.420000076294,0,-2,1366.47,0,11829.16,8984.58996582031,0,889.949989318848,897.990013122559,-21.1800000667572,11228.3499755859,0,0,14897.3,0,0,6036.35,-40.650000333786,0,1206.60997772217,93.8200008869171,0,-24.4000000953674,0,0,0,-62.1700000762939,0,14514,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,44,93.41,84,134.6,748,111.66,70,2,44,121614.46,29520.6000976562,21563.2897949219,10.55,0,-4246.45,31823.94,2348.92999267578,-38,3838.55,0,1072.95,-269,35457.49,1302.85,112.569999217987,-10.5399994850159,0,-1,1138.02,-12.2400000095367,12345.98,10784.5401611328,0,967.600006103516,1165.01999664307,-925.719993591309,12505.3399658203,0,0,16430.79,0,0,5677.47,-103.200000762939,0,551.690002441406,99.7999992370605,0,-3.5,0,0,0,-168.869999885559,0,14701,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,45,73.48,899,97.08,1729,88.36,63,2,45,129353.4,29092.0700683594,23952.9802246094,3.7,0,-10727.16,29180.94,3839.59002685547,-633.860002040863,2389.47,-22.4500007629395,456.79,-78,43357.04,529.15,57.6599991321564,-6064.17004394531,0,-17,1534.85,-425.949999094009,12757.04,10604.2199707031,0,820.980010986328,1209.8399887085,-1134.88999176025,13120.0397949219,0,0,15566.59,0,0,5785.63,-368.510000228882,0,884.720016479492,65.8599991798401,0,-4.28999996185303,0,0,0,-643.410003662109,0,14854,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,46,93.41,108,182.01,396,171.79,35,2,46,120060.07,29709.6496582031,25002.8100585938,0.8,0,-3309.52,32034.6,2393.59997558594,-11.1900000572205,3233,0,204.15,0,36909.74,400.55,227.959999322891,-23.5200002193451,0,-3,785.74,0,13430.77,9833.51000976562,0,741.180000305176,928.199996948242,-234.430000305176,12021.5299072266,0,0,15060.13,0,0,4573.63,-34.7700004577637,0,529.639999389648,76.9599993228912,0,0,0,0,0,-63.7399997711182,0,15918,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,47,90.29,710,160.5,1671,136.88,116,2,47,112324.49,26758.0498046875,21769.419921875,5.97,0,-360.88,30637.57,2545.64001464844,-9.53999996185303,2465.01,0,273.78,-12,32656.09,563.92,45.7599999904633,-19,0,0,867.33,-254.359995126724,11946.51,7667.0901184082,0,829.919994354248,1042.79000091553,-263.329999923706,11914.6400146484,0,0,15165.12,0,0,5287.46,-148.499999046326,33.94,510.770015954971,96.1899991035461,0,-19.1300005912781,0,0,0,-39.7999992370605,0,13834,0,0,0,0,0,0,0,0,0,0,0,0,2548
2,48,71.11,98,141.46,695,195.3,34,2,48,113715.08,28287.9501953125,20682.8500976562,14.26,0,-3530.45,27411.45,2751.13003540039,-235.189998626709,3053.12,-13.8000000119209,94.54,-12,31649.37,582.38,43.8099994659424,-1287.35000610352,0,0,646.2,-0.5,11640.64,9165.91998291016,0,771.129997253418,843.590000152588,-576.699996948242,11785.8199462891,0,0,13876.8,0,0,5247.75,-210.300001144409,0,602.990009307861,100.349998950958,0,-2.6599999666214,0,0,0,-245.640001296997,0,13259,0,0,0,0,0,0,0,0,0,0,0,0,2548
